wavelength,wave_fit
885.844,True
886.847,True
887.848,True
888.849,True
889.85,True
890.85,True
891.849,True
892.848,True
893.846,True
894.844,True
895.841,True
896.838,True
897.834,True
898.83,True
899.825,True
900.819,True
901.813,True
902.807,True
903.799,True
904.792,True
905.783,True
906.775,True
907.765,True
908.755,True
909.745,True
910.733,True
911.722,True
912.71,True
913.697,True
914.683,True
915.669,True
916.655,True
917.64,True
918.624,True
919.608,True
920.591,True
921.573,True
922.555,True
923.537,True
924.517,True
925.498,True
926.477,True
927.456,True
928.435,True
929.412,True
930.39,True
931.366,True
932.342,True
933.318,True
934.293,True
935.267,True
936.24,True
937.213,True
938.186,True
939.158,True
940.129,True
941.099,True
942.069,True
943.039,True
944.007,True
944.975,True
945.943,True
946.91,True
947.876,True
948.842,True
949.807,True
950.771,True
951.735,True
952.698,True
953.66,True
954.622,True
955.584,True
956.544,True
957.504,True
958.463,True
959.422,True
960.38,True
961.338,True
962.294,True
963.25,True
964.206,True
965.161,True
966.115,True
