wavelength,wave_fit
1253.44,True
1255.0,True
1256.56,True
1258.13,True
1259.69,True
1261.25,True
1262.81,True
1264.38,True
1265.94,True
1267.5,True
1269.06,True
1270.63,True
1272.19,True
1273.75,True
1275.31,True
1276.88,True
1278.44,True
1280.0,True
1281.56,True
1283.13,True
1284.69,True
1286.25,True
1287.81,True
1289.38,True
1290.94,True
1292.5,True
1294.06,True
1295.63,True
1297.19,True
1298.75,True
1300.31,False
1301.88,False
1303.44,False
1305.0,False
1306.56,False
1308.13,False
1309.69,False
1311.25,False
1312.81,False
1314.38,False
1315.94,False
1317.5,False
1319.06,False
1320.63,False
1322.19,False
1323.75,False
1325.31,False
1326.88,False
1328.44,False
1330.0,False
1331.56,False
1333.13,False
1334.69,False
1336.25,False
1337.81,False
1339.38,False
1340.94,False
1342.5,False
1344.06,False
1345.63,False
1347.19,False
1348.75,False
1350.31,False
1351.88,False
1353.44,False
1355.0,False
1356.56,False
1358.13,False
1359.69,False
1361.25,False
1362.81,False
1364.38,False
1365.94,False
1367.5,False
1369.06,False
1370.63,False
1372.19,False
1373.75,False
1375.31,False
1376.88,False
1378.44,False
1380.0,False
1381.56,False
1383.13,False
1384.69,False
1386.25,False
1387.81,False
1389.38,False
1390.94,False
1392.5,False
1394.06,False
1395.63,False
1397.19,False
1398.75,False
1400.31,False
1401.88,False
1403.44,False
1405.0,False
1406.56,False
1408.13,False
1409.69,False
1411.25,False
1412.81,False
1414.38,False
1415.94,False
1417.5,False
1419.06,False
1420.63,False
1422.19,False
1423.75,False
1425.31,False
1426.88,False
1428.44,False
1430.0,False
1431.56,False
1433.13,False
1434.69,False
1436.25,False
1437.81,False
1439.38,False
1440.94,False
1442.5,False
1444.06,False
1445.63,False
1447.19,False
1448.75,False
1450.31,False
1451.88,False
1453.44,False
1455.0,False
1456.56,False
1458.13,False
1459.69,False
1461.25,True
1462.81,True
1464.38,True
1465.94,True
1467.5,True
1469.06,True
1470.63,True
1472.19,True
1473.75,True
1475.31,True
1476.88,True
1478.44,True
1480.0,True
1481.56,True
1483.13,True
1484.69,True
1486.25,True
1487.81,True
1489.38,True
1490.94,True
1492.5,True
1494.06,True
1495.63,True
1497.19,True
1498.75,True
1500.31,True
1501.88,True
1503.44,True
1505.0,True
1506.56,True
1508.13,True
1509.69,True
1511.25,True
1512.81,True
1514.38,True
1515.94,True
1517.5,True
1519.06,True
1520.63,True
1522.19,True
1523.75,True
1525.31,True
1526.88,True
1528.44,True
1530.0,True
1531.56,True
1533.13,True
1534.69,True
1536.25,True
1537.81,True
1539.38,True
1540.94,True
1542.5,True
1544.06,True
1545.63,True
1547.19,True
1548.75,True
1550.31,True
1551.88,True
1553.44,True
1555.0,True
1556.56,True
1558.13,True
1559.69,True
1561.25,True
1562.81,True
1564.38,True
1565.94,True
1567.5,True
1569.06,True
1570.63,True
1572.19,True
1573.75,True
1575.31,True
1576.88,True
1578.44,True
1580.0,True
1581.56,True
1583.13,True
1584.69,True
1586.25,True
1587.81,True
1589.38,True
1590.94,True
1592.5,True
1594.06,True
1595.63,True
1597.19,True
1598.75,True
1600.31,True
1601.88,True
1603.44,True
1605.0,True
1606.56,True
1608.13,True
1609.69,True
1611.25,True
1612.81,True
1614.38,True
1615.94,True
1617.5,True
1619.06,True
1620.63,True
1622.19,True
1623.75,True
1625.31,True
1626.88,True
1628.44,True
1630.0,True
1631.56,True
1633.13,True
1634.69,True
1636.25,True
